id,pic_url,descriptions,prompt,tags
0,https://promptlibrary.org/wp-content/uploads/2023/06/Starry-Dreams-Mic-Performance-midjourney-prompt.jpg,Starry Dreams Mic Performance,"They are holding a microphone as if performing. The backdrop should be a starry sky, each star symbolizing a little star's dream. Don't forget the Pixar animation style ar 3: 4 --v 5","['3:4', 'animation', 'art', 'creativity', 'Dreams', 'Entertainment', 'fantasy', 'imagination', 'microphone', 'music', 'performance', 'Pixar', 'starry sky', 'stars', 'storytelling']"
1,https://promptlibrary.org/wp-content/uploads/2023/06/50-Coats-Installation-Art-midjourney-prompt.jpg,50 Coats Installation Art,"A large installation consisting of 50 favorite coats. Each coat represents a consumer, and they can be hung, woven or combined to form an artistic structure with three - dimensionality and layering. Viewers can walk around the installation, admiring the details and overall effect of each coat --ar 4:3  --style raw","['art installation', 'conceptual art', 'contemporary art', 'immersive art', 'installation art', 'interactive art', 'layering', 'mixed media', 'sculpture', 'textile art', 'three-dimensional art']"
2,https://promptlibrary.org/wp-content/uploads/2023/06/Golden-Robin-Athletic-Hero-Photography-midjourney-prompt.jpg,Golden Robin Athletic Hero Photography,"A male superhero, Robin design, full body photography, evil eyes, athletic figure, black and golden suit, cape, soft skin, dynamic posture, soft light, film texture, Arkham city background, virtual engine, advanced detail processing, ultra realistic 8k, styles for printing ","['cape', 'dynamic posture', 'evil eyes', 'full body photography', 'soft light', 'soft skin', 'ultra realistic 8k', 'virtual engine']"
3,https://promptlibrary.org/wp-content/uploads/2023/06/Beluga-Mandala-Coloring-Page-midjourney-prompt.jpg,Beluga Mandala Coloring Page,"coloring page for adults, mandala, beluga image, white background, clean line art, fine line art, no background, simple clean design, hd ","['clean line art', 'coloring page for adults', 'digital download', 'fine line art', 'mandala', 'meditation', 'no background', 'printable', 'stress relief', 'white background']"
4,https://promptlibrary.org/wp-content/uploads/2023/06/Lesbian-Model-in-Artistic-T-Shirt-midjourney-prompt.jpg,Lesbian Model in Artistic T-Shirt,"a young and beautiful lesbian model wearing yellow T - shirt with an artistic black DRAWING HANDMADE thick painting of smiling emoticon, a white coloured background, a Beautiful 2021 photography want to see the whole picture, ultra - realistic real make the unexpected expected real of a well proportioned, Ultra - Wide Angle, Depth of Field, hyper - detailed, beautifully color - coded, insane details, intricate details, Unreal Engine, 32k, ultra - realistic 200% , bright and colorful, vibrant, insanely detailed and intricate, epic composition, unreal engine, Super - Resolution, Megapixel, ProPhoto RGB, VR, Lonely, Good, Massive, Halfrear Lighting, Backlight, Natural Lighting, Incandescent, Optical Fiber, Moody Lighting, Cinematic Lighting, Studio Lighting, Soft Lighting, Volumetric Glowing, Shadows, Rough, Shimmering, Ray Tracing Reflections, Lumen Reflections, Screen Space Reflections, Diffraction Grading, GB Displacement, Scan Lines, Ray Traced, Ray Tracing Ambient Occlusion, Anti - Aliasing, FKAA, TXAA, RTX, SSAO, Shaders, OpenGL - Shaders, --ar 2:3 --q 5 --v 5 --s 750 --uplight  --s 750   --q 2","['2021 photography', '32k', 'Anti-aliasing', 'Backlight', 'Bright and colorful', 'cinematic lighting', 'Color-Coded', 'depth of field', 'Diffraction Grading', 'epic composition', 'FKAA', 'GB Displacement', 'half-rear lighting', 'hyper-detailed', 'incandescent', 'insane details', 'intricate details', 'Lonely', 'Lumen Reflections', 'Massive', 'Megapixel', 'moody lighting', 'Natural Lighting', 'OpenGL-Shaders', 'optical fiber', 'ProPhoto RGB', 'Ray Traced', 'Ray Tracing Ambient Occlusion', 'Ray Tracing Reflections', 'Rough', 'RTX', 'Scan Lines', 'screen space reflections', 'Shaders', 'shadows', 'shimmering', 'soft lighting', 'SSAO', 'studio lighting', 'Super-Resolution', 'TXAA', 'ultra-realistic', 'ultra-wide angle', 'Unreal Engine', 'Vibrant', 'volumetric glowing', 'VR', 'well-proportioned', 'white background', 'yellow t-shirt']"
5,https://promptlibrary.org/wp-content/uploads/2023/06/Futuristic-Kimono-Rain-Coat-midjourney-prompt.jpg,Futuristic Kimono Rain Coat,"futuristic and minimal kimono style rain coat for women, semi transparent foil, japanese inspired imprints with koi fishes, elegant shape, photoshooting in kyoto town in an alley, female model, white background, inspired from issey miyake, Very sharp, ultra realistic, cinematic lighting, depth field, hyper - detailed, Unreal Engine, Cinematic, color grading, Editorial Photography, Photography, Photoshoot, Shot on 50 mm lens, Depth of Field, --q 2 --ar 2:3","['Alley', 'cinematic lighting', 'color grading', 'depth of field', 'editorial photography', 'elegant shape', 'female model', 'foil', 'futuristic', 'hyper-detailed', 'Issey Miyake', 'Japanese inspired', 'kimono style', 'koi fishes', 'Kyoto town', 'minimal', 'photoshoot', 'rain coat', 'semi-transparent', 'sharp', 'Shot on 50mm Lens', 'ultra-realistic', 'Unreal Engine', 'white background', 'women']"
6,https://promptlibrary.org/wp-content/uploads/2023/06/Natural-Logo-for-Ohio-Valley-midjourney-prompt.jpg,Natural Logo for Ohio Valley,"transparent background, natural logo for software business called ohio valley digital --s 750 --v 5.1","['branding', 'Business', 'creativity', 'design', 'digital marketing', 'innovation', 'logo', 'minimalism', 'natural', 'professional', 'simplicity', 'software', 'Technology', 'transparent background']"
7,https://promptlibrary.org/wp-content/uploads/2023/06/Love-Luxury-Logo-Design-midjourney-prompt.jpg,Love Luxury Logo Design,"Logo design, store name: Love and Luxury, sans serif font, horizontal alignment, unique symbol, elegant meaning, sophisticated colors, silver, simple --v 5.1 --style raw --s 750","['branding', 'fashion', 'identity', 'logo design', 'luxury', 'minimalist', 'modern', 'Sans serif font', 'silver', 'simple', 'sophisticated colors']"
8,https://promptlibrary.org/wp-content/uploads/2023/06/Gods-Beer-Bash-midjourney-prompt.jpg,Gods Beer Bash,"a fantasy art image of the greek gods, Poseidon, Hades and Zeus getting together for a beer. They are all extremely handsome wearing armour and laughing ","['armour', 'beer', 'deities', 'Divine', 'fantasy art', 'gods', 'Greek gods', 'Hades', 'handsome', 'laughing', 'mythology', 'Olympus', 'party', 'Poseidon', 'Zeus']"
9,https://promptlibrary.org/wp-content/uploads/2023/06/Jeans-making-Bangladeshi-Girl-midjourney-prompt-1.jpg,Jeans-making Bangladeshi Girl,Bangladeshi girl making jeans pants in a graments using machine ,"['Bangladeshi', 'craftsmanship', 'fashion', 'garments', 'Girl', 'industry', 'jeans', 'labor', 'machine', 'manufacturing', 'pants', 'Production', 'skill', 'textile', 'workmanship']"
