pic_url,title,prompt_url,prompt,tag,related_urls,related_pic_urls,related_titles
https://promptlibrary.org/wp-content/uploads/2023/06/Feminine-Manga-Man-Pose-midjourney-prompt.jpg,Feminine Manga Man Pose,https://promptlibrary.org/midjourney/feminine-manga-man-pose/,"beautiful feminine man, long straight white hair, loose fitting black kimono, slender build, muscular, feminine pose, whole body in frame, manga art style, --ar 2:3","['anime', 'beautiful', 'feminine', 'illustration', 'long hair', 'Loose Fitting', 'man', 'Manga Art Style', 'Muscular', 'slender', 'straight hair', 'white hair', 'whole body']","['https://promptlibrary.org/midjourney/mechanical-hottie-a-cyberpunk-masterpiece/', 'https://promptlibrary.org/midjourney/triggers-kawaii-fashion-epic/', 'https://promptlibrary.org/midjourney/minimal-moon-sea-art/', 'https://promptlibrary.org/midjourney/medieval-infantry-trio-illustration/']","['https://promptlibrary.org/wp-content/uploads/2023/06/Mechanical-Hottie-A-Cyberpunk-Masterpiece-midjourney-prompt-1.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Triggers-Kawaii-Fashion-Epic-midjourney-prompt-1.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Minimal-Moon-Sea-Art-midjourney-prompt.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Medieval-Infantry-Trio-Illustration-midjourney-prompt.png']","['Mechanical Hottie A Cyberpunk Masterpiece', 'Triggers Kawaii Fashion Epic', 'Minimal Moon Sea Art', 'Medieval Infantry Trio Illustration']"
https://promptlibrary.org/wp-content/uploads/2023/06/Autumn-Leaves-Cartoon-Pattern-midjourney-prompt.jpg,Autumn Leaves Cartoon Pattern,https://promptlibrary.org/midjourney/autumn-leaves-cartoon-pattern/,infinite autumn leaves pattern on a white background cartoon style --ar 293:151 --s 50,"['autumn', 'Cartoon', 'design', 'fall', 'foliage', 'graphic', 'illustration', 'leaves', 'nature', 'pattern', 'repeat', 'seamless', 'seasonal', 'vector', 'white background']","['https://promptlibrary.org/midjourney/fantasy-pink-and-green/', 'https://promptlibrary.org/midjourney/navy-grey-plaid-watercolor-tile/', 'https://promptlibrary.org/midjourney/funky-fantasy-digital-background/', 'https://promptlibrary.org/midjourney/funky-fantasy-digital-background-2/']","['https://promptlibrary.org/wp-content/uploads/2023/06/Fantasy-Pink-and-Green-midjourney-prompt.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Navy-Grey-Plaid-Watercolor-Tile-midjourney-prompt.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Funky-Fantasy-Digital-Background-midjourney-prompt.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Funky-Fantasy-Digital-Background-midjourney-prompt-1.png']","['Fantasy Pink and Green', 'Navy Grey Plaid Watercolor Tile', 'Funky Fantasy Digital Background', 'Funky Fantasy Digital Background']"
https://promptlibrary.org/wp-content/uploads/2023/06/Cute-Doctor-Sphinx-Cat-midjourney-prompt.jpg,Cute Doctor Sphinx Cat,https://promptlibrary.org/midjourney/cute-doctor-sphinx-cat/,slightly cartoonish and cute sphinx cat in a doctor suit with round cute paws ,"['adorable', 'animal', 'cartoonish', 'character', 'cute', 'digital art', 'doctor', 'feline', 'illustration', 'medical', 'pet', 'sphinx cat', 'whimsical']","['https://promptlibrary.org/midjourney/reptile-human-bokeh-photography/', 'https://promptlibrary.org/midjourney/tiger-battle-in-africa-heat/', 'https://promptlibrary.org/midjourney/pastel-fox-tee-design/', 'https://promptlibrary.org/midjourney/fox-in-tuxedo-cocktail-shirt/']","['https://promptlibrary.org/wp-content/uploads/2023/06/Reptile-Human-Bokeh-Photography-midjourney-prompt.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Tiger-Battle-in-Africa-Heat-midjourney-prompt.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Pastel-Fox-Tee-Design-midjourney-prompt.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Fox-in-Tuxedo-Cocktail-Shirt-midjourney-prompt.png']","['Reptile Human Bokeh Photography', 'Tiger Battle in Africa Heat', 'Pastel Fox Tee Design', 'Fox in Tuxedo Cocktail Shirt']"
https://promptlibrary.org/wp-content/uploads/2023/06/Forbidden-City-Summer-Travel-Poster-midjourney-prompt.jpg,Forbidden City Summer Travel Poster,https://promptlibrary.org/midjourney/forbidden-city-summer-travel-poster/,"Flat vector art illustration, travel poster featuring the Forbidden City as the main visual, in summer, wide angle, 4K, --ar 9:16 --v 5.1","['4k', 'architecture', 'China', 'cultural', 'destination', 'flat vector art', 'Forbidden City', 'historical', 'illustration', 'landmark', 'summer', 'tourism', 'travel poster', 'vacation', 'wide angle']","['https://promptlibrary.org/midjourney/mechanical-hottie-a-cyberpunk-masterpiece/', 'https://promptlibrary.org/midjourney/triggers-kawaii-fashion-epic/', 'https://promptlibrary.org/midjourney/minimal-moon-sea-art/', 'https://promptlibrary.org/midjourney/medieval-infantry-trio-illustration/']","['https://promptlibrary.org/wp-content/uploads/2023/06/Mechanical-Hottie-A-Cyberpunk-Masterpiece-midjourney-prompt-1.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Triggers-Kawaii-Fashion-Epic-midjourney-prompt-1.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Minimal-Moon-Sea-Art-midjourney-prompt.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Medieval-Infantry-Trio-Illustration-midjourney-prompt.png']","['Mechanical Hottie A Cyberpunk Masterpiece', 'Triggers Kawaii Fashion Epic', 'Minimal Moon Sea Art', 'Medieval Infantry Trio Illustration']"
https://promptlibrary.org/wp-content/uploads/2023/06/Bionic-Eye-Coloring-Page-midjourney-prompt.jpg,Bionic Eye Coloring Page,https://promptlibrary.org/midjourney/bionic-eye-coloring-page/,"coloring page illustration line art, fill entirely, bionic steampunk eye closeup, unique, intricate details, high quality ::1 shading ::-0.5 --no shading --ar 2:1  --upbeta   --q 2","['bionic', 'closeup', 'coloring page', 'eye', 'high quality', 'illustration', 'intricate details', 'line art', 'shading', 'Steampunk', 'unique']","['https://promptlibrary.org/midjourney/mechanical-hottie-a-cyberpunk-masterpiece/', 'https://promptlibrary.org/midjourney/triggers-kawaii-fashion-epic/', 'https://promptlibrary.org/midjourney/minimal-moon-sea-art/', 'https://promptlibrary.org/midjourney/medieval-infantry-trio-illustration/']","['https://promptlibrary.org/wp-content/uploads/2023/06/Mechanical-Hottie-A-Cyberpunk-Masterpiece-midjourney-prompt-1.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Triggers-Kawaii-Fashion-Epic-midjourney-prompt-1.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Minimal-Moon-Sea-Art-midjourney-prompt.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Medieval-Infantry-Trio-Illustration-midjourney-prompt.png']","['Mechanical Hottie A Cyberpunk Masterpiece', 'Triggers Kawaii Fashion Epic', 'Minimal Moon Sea Art', 'Medieval Infantry Trio Illustration']"
https://promptlibrary.org/wp-content/uploads/2023/06/Cute-Seth-in-Cartoon-Style-midjourney-prompt.jpg,Cute Seth in Cartoon Style,https://promptlibrary.org/midjourney/cute-seth-in-cartoon-style/,cute cartoon style Egyptian god Seth --v 5,"['ancient Egypt', 'Cartoon', 'character design', 'cute', 'deities', 'digital art', 'Egyptian Mythology', 'fantasy', 'God', 'illustration', 'mythology', 'mythology art']","['https://promptlibrary.org/midjourney/mechanical-hottie-a-cyberpunk-masterpiece/', 'https://promptlibrary.org/midjourney/triggers-kawaii-fashion-epic/', 'https://promptlibrary.org/midjourney/minimal-moon-sea-art/', 'https://promptlibrary.org/midjourney/medieval-infantry-trio-illustration/']","['https://promptlibrary.org/wp-content/uploads/2023/06/Mechanical-Hottie-A-Cyberpunk-Masterpiece-midjourney-prompt-1.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Triggers-Kawaii-Fashion-Epic-midjourney-prompt-1.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Minimal-Moon-Sea-Art-midjourney-prompt.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Medieval-Infantry-Trio-Illustration-midjourney-prompt.png']","['Mechanical Hottie A Cyberpunk Masterpiece', 'Triggers Kawaii Fashion Epic', 'Minimal Moon Sea Art', 'Medieval Infantry Trio Illustration']"
https://promptlibrary.org/wp-content/uploads/2023/06/Salvaged-Solar-Punk-Forge-midjourney-prompt.jpg,Salvaged Solar Punk Forge,https://promptlibrary.org/midjourney/salvaged-solar-punk-forge/,an illustration of a single storey solar punk blacksmith forge building that is made up of salvaged pieces of metal and wood in a studio ghibli style --stylize 800,"['building', 'eco-friendly', 'illustration', 'metal', 'Studio Ghibli', 'wood']","['https://promptlibrary.org/midjourney/mechanical-hottie-a-cyberpunk-masterpiece/', 'https://promptlibrary.org/midjourney/triggers-kawaii-fashion-epic/', 'https://promptlibrary.org/midjourney/minimal-moon-sea-art/', 'https://promptlibrary.org/midjourney/medieval-infantry-trio-illustration/']","['https://promptlibrary.org/wp-content/uploads/2023/06/Mechanical-Hottie-A-Cyberpunk-Masterpiece-midjourney-prompt-1.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Triggers-Kawaii-Fashion-Epic-midjourney-prompt-1.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Minimal-Moon-Sea-Art-midjourney-prompt.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Medieval-Infantry-Trio-Illustration-midjourney-prompt.png']","['Mechanical Hottie A Cyberpunk Masterpiece', 'Triggers Kawaii Fashion Epic', 'Minimal Moon Sea Art', 'Medieval Infantry Trio Illustration']"
https://promptlibrary.org/wp-content/uploads/2023/06/Blue-AI-Illustration-in-8K-midjourney-prompt.jpg,Blue AI Illustration in 8K,https://promptlibrary.org/midjourney/blue-ai-illustration-in-8k/,"Display illustration of artificial intelligence, blue tone, 8k, --ar 16:7 --q 2 --c 90 --s 750 --v 5.1","['8K', 'AI', 'artificial intelligence', 'blue tone', 'computer science', 'digital art', 'display', 'futuristic', 'high resolution', 'illustration', 'innovation', 'machine learning', 'modern', 'robotics', 'Technology']","['https://promptlibrary.org/midjourney/mechanical-hottie-a-cyberpunk-masterpiece/', 'https://promptlibrary.org/midjourney/triggers-kawaii-fashion-epic/', 'https://promptlibrary.org/midjourney/minimal-moon-sea-art/', 'https://promptlibrary.org/midjourney/medieval-infantry-trio-illustration/']","['https://promptlibrary.org/wp-content/uploads/2023/06/Mechanical-Hottie-A-Cyberpunk-Masterpiece-midjourney-prompt-1.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Triggers-Kawaii-Fashion-Epic-midjourney-prompt-1.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Minimal-Moon-Sea-Art-midjourney-prompt.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Medieval-Infantry-Trio-Illustration-midjourney-prompt.png']","['Mechanical Hottie A Cyberpunk Masterpiece', 'Triggers Kawaii Fashion Epic', 'Minimal Moon Sea Art', 'Medieval Infantry Trio Illustration']"
https://promptlibrary.org/wp-content/uploads/2023/06/Russian-Viking-Sprite-Sheet-Designs-midjourney-prompt.jpg,Russian Viking Sprite Sheet Designs,https://promptlibrary.org/midjourney/russian-viking-sprite-sheet-designs/,Russian vikings sprite sheet flat designs ,"['2D', 'animation', 'battle', 'character design', 'game assets', 'graphic design', 'historical', 'illustration', 'medieval', 'Russian', 'Sprite Sheet', 'vector', 'Vikings', 'warrior']","['https://promptlibrary.org/midjourney/mechanical-hottie-a-cyberpunk-masterpiece/', 'https://promptlibrary.org/midjourney/triggers-kawaii-fashion-epic/', 'https://promptlibrary.org/midjourney/minimal-moon-sea-art/', 'https://promptlibrary.org/midjourney/medieval-infantry-trio-illustration/']","['https://promptlibrary.org/wp-content/uploads/2023/06/Mechanical-Hottie-A-Cyberpunk-Masterpiece-midjourney-prompt-1.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Triggers-Kawaii-Fashion-Epic-midjourney-prompt-1.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Minimal-Moon-Sea-Art-midjourney-prompt.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Medieval-Infantry-Trio-Illustration-midjourney-prompt.png']","['Mechanical Hottie A Cyberpunk Masterpiece', 'Triggers Kawaii Fashion Epic', 'Minimal Moon Sea Art', 'Medieval Infantry Trio Illustration']"
https://promptlibrary.org/wp-content/uploads/2023/06/Kawaii-Cat-Heart-Sticker-midjourney-prompt.jpg,Kawaii Cat Heart Sticker,https://promptlibrary.org/midjourney/kawaii-cat-heart-sticker/,"Kawaii cute cat sticker with hearts and kissing, watercolor, white background ","['cat', 'cute', 'hearts', 'illustration', 'kawaii', 'kissing', 'love', 'pets', 'romance', 'stationary', 'sticker', 'watercolor', 'white backgrounddesign']","['https://promptlibrary.org/midjourney/white-cat-icon/', 'https://promptlibrary.org/midjourney/white-cat-icon-2/', 'https://promptlibrary.org/midjourney/nighttime-scene-with-bearded-man/', 'https://promptlibrary.org/midjourney/synth-cat-jam-session/']","['https://promptlibrary.org/wp-content/uploads/2023/06/White-Cat-Icon-midjourney-prompt.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/White-Cat-Icon-midjourney-prompt-1.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Nighttime-Scene-with-Bearded-Man-midjourney-prompt.png', 'https://promptlibrary.org/wp-content/uploads/2023/06/Synth-Cat-Jam-Session-midjourney-prompt.png']","['White Cat Icon', 'White Cat Icon', 'Nighttime Scene with Bearded Man', 'Synth-Cat Jam Session']"
